Cost (Dollars),Quantity (g),Product Key,Date Key,Location Key
7.13,500.0,1,83,301
6.06,500.0,1,83,302
6.7,500.0,1,83,303
6.84,500.0,1,83,304
6.67,500.0,1,83,305
7.06,500.0,1,83,306
7.21,500.0,1,83,307
7.0,500.0,1,84,297
6.99,500.0,1,84,298
6.88,500.0,1,84,299
6.89,500.0,1,84,300
6.9,500.0,1,84,301
6.62,500.0,1,84,302
7.06,500.0,1,84,303
6.86,500.0,1,84,304
6.84,500.0,1,84,305
7.33,500.0,1,84,306
7.38,500.0,1,84,307
24.83,1000.0,2,1,1
20.53,1000.0,2,1,2
19.92,1000.0,2,1,3
19.6,1000.0,2,1,4
20.6,1000.0,2,1,5
27.57,1000.0,2,1,6
24.82,1000.0,2,1,7
23.58,1000.0,2,1,8
23.08,1000.0,2,1,9
24.85,1000.0,2,1,10
23.81,1000.0,2,1,11
24.66,1000.0,2,2,1
20.77,1000.0,2,2,2
20.17,1000.0,2,2,3
19.31,1000.0,2,2,4
19.99,1000.0,2,2,5
24.73,1000.0,2,2,6
25.06,1000.0,2,2,7
24.47,1000.0,2,2,8
24.48,1000.0,2,2,9
26.06,1000.0,2,2,10
26.28,1000.0,2,2,11
24.3,1000.0,2,3,1
21.3,1000.0,2,3,2
19.8,1000.0,2,3,3
19.8,1000.0,2,3,4
20.67,1000.0,2,3,5
25.66,1000.0,2,3,6
25.35,1000.0,2,3,7
21.81,1000.0,2,3,8
20.67,1000.0,2,3,9
23.4,1000.0,2,3,10
23.11,1000.0,2,3,11
23.11,1000.0,2,4,12
20.25,1000.0,2,4,13
19.3,1000.0,2,4,14
19.41,1000.0,2,4,15
20.04,1000.0,2,4,16
23.18,1000.0,2,4,17
23.96,1000.0,2,4,18
21.63,1000.0,2,4,19
20.39,1000.0,2,4,20
23.16,1000.0,2,4,21
23.75,1000.0,2,4,22
24.02,1000.0,2,5,12
21.11,1000.0,2,5,13
19.85,1000.0,2,5,14
20.33,1000.0,2,5,15
20.69,1000.0,2,5,16
23.79,1000.0,2,5,17
25.88,1000.0,2,5,18
22.71,1000.0,2,5,19
20.79,1000.0,2,5,20
23.92,1000.0,2,5,21
24.13,1000.0,2,5,22
23.85,1000.0,2,6,12
20.8,1000.0,2,6,13
20.33,1000.0,2,6,14
